"","Il","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"47","Kayseri-38",0.776119402985075,0.776119402985075,0.520833333333333,0.520833333333333,0.520833333333333,0.520833333333333,0.520833333333333,0.75,0.75,0.75,0.75,0.75,0.6875
"48","Kilis-79",0.2,0.2,0.6,0.6,0.6,0.6,0.6,1,1,1,1,1,1
"49","Kirikkale-71",0.62962962962963,0.62962962962963,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.521739130434783,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.727272727272727,0.636363636363636
"50","Kirklareli-39",0.192307692307692,0.192307692307692,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.423076923076923,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.285714285714286,0.380952380952381
"51","Kirsehir-40",0.6,0.6,0.366666666666667,0.366666666666667,0.366666666666667,0.366666666666667,0.366666666666667,0.5,0.5,0.5,0.5,0.5,0.5
"52","Kocaeli-41",0.704545454545455,0.704545454545455,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,0.916666666666667,1,1,1,1,1,0.916666666666667
"53","Konya-42",0.707317073170732,0.707317073170732,0.577889447236181,0.577889447236181,0.577889447236181,0.577889447236181,0.577889447236181,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.838709677419355,0.774193548387097
"54","Kütahya-43",0.693333333333333,0.693333333333333,0.527777777777778,0.527777777777778,0.527777777777778,0.527777777777778,0.527777777777778,0.592592592592593,0.592592592592593,0.592592592592593,0.592592592592593,0.592592592592593,0.607142857142857
"55","Malatya-44",0.574074074074074,0.574074074074074,0.641509433962264,0.641509433962264,0.641509433962264,0.641509433962264,0.641509433962264,0.846153846153846,0.846153846153846,0.846153846153846,0.846153846153846,0.846153846153846,0.615384615384615
"56","Manisa-45",0.452380952380952,0.452380952380952,0.44047619047619,0.44047619047619,0.44047619047619,0.44047619047619,0.44047619047619,0.647058823529412,0.647058823529412,0.647058823529412,0.647058823529412,0.647058823529412,0.529411764705882
"57","Mardin-47",0.161290322580645,0.161290322580645,0.32258064516129,0.32258064516129,0.32258064516129,0.32258064516129,0.32258064516129,0.2,0.2,0.2,0.2,0.2,0.5
"58","Mersin-33",0.318840579710145,0.318840579710145,0.314814814814815,0.314814814814815,0.314814814814815,0.314814814814815,0.314814814814815,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.153846153846154
"59","Mugla-48",0.327868852459016,0.327868852459016,0.131147540983607,0.131147540983607,0.131147540983607,0.131147540983607,0.131147540983607,0.230769230769231,0.230769230769231,0.230769230769231,0.230769230769231,0.230769230769231,0.461538461538462
"60","Mus-49",0.321428571428571,0.321428571428571,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.392857142857143,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.347826086956522,0.478260869565217
"61","Nevsehir-50",0.688888888888889,0.688888888888889,0.613636363636364,0.613636363636364,0.613636363636364,0.613636363636364,0.613636363636364,0.695652173913043,0.695652173913043,0.695652173913043,0.695652173913043,0.695652173913043,0.739130434782609
"62","Nigde-51",0.480769230769231,0.480769230769231,0.673076923076923,0.673076923076923,0.673076923076923,0.673076923076923,0.673076923076923,0.482758620689655,0.482758620689655,0.482758620689655,0.482758620689655,0.482758620689655,0.620689655172414
"63","Ordu-52",0.597222222222222,0.597222222222222,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,1,1,1,1,1,0.842105263157895
"64","Osmaniye-80",0.375,0.375,0.4375,0.4375,0.4375,0.4375,0.4375,0.230769230769231,0.230769230769231,0.230769230769231,0.230769230769231,0.230769230769231,0.357142857142857
"65","Rize-53",0.714285714285714,0.714285714285714,0.80952380952381,0.80952380952381,0.80952380952381,0.80952380952381,0.80952380952381,0.944444444444444,0.944444444444444,0.944444444444444,0.944444444444444,0.944444444444444,0.777777777777778
"66","Sakarya-54",0.692307692307692,0.692307692307692,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,0.8125
"67","Samsun-55",0.64,0.64,0.65,0.65,0.65,0.65,0.65,0.941176470588235,0.941176470588235,0.941176470588235,0.941176470588235,0.941176470588235,0.764705882352941
"68","Sanliurfa-63",0.384615384615385,0.384615384615385,0.307692307692308,0.307692307692308,0.307692307692308,0.307692307692308,0.307692307692308,0.692307692307692,0.692307692307692,0.692307692307692,0.692307692307692,0.692307692307692,0.846153846153846
"69","Siirt-56",0.538461538461538,0.538461538461538,0.538461538461538,0.538461538461538,0.538461538461538,0.538461538461538,0.538461538461538,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.583333333333333
"70","Sinop-57",0.636363636363636,0.636363636363636,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.363636363636364,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.444444444444444,0.777777777777778
"71","Sirnak-73",0.2,0.2,0.45,0.45,0.45,0.45,0.45,0.315789473684211,0.315789473684211,0.315789473684211,0.315789473684211,0.315789473684211,0.789473684210526
"72","Sivas-58",0.739130434782609,0.739130434782609,0.5,0.5,0.5,0.5,0.5,0.541666666666667,0.541666666666667,0.541666666666667,0.541666666666667,0.541666666666667,0.416666666666667
"73","Tekirdag-59",0.333333333333333,0.333333333333333,0.424242424242424,0.424242424242424,0.424242424242424,0.424242424242424,0.424242424242424,0,0,0,0,0,0.272727272727273
"74","Tokat-60",0.415584415584416,0.415584415584416,0.421052631578947,0.421052631578947,0.421052631578947,0.421052631578947,0.421052631578947,0.621621621621622,0.621621621621622,0.621621621621622,0.621621621621622,0.621621621621622,0.513513513513513
"75","Trabzon-61",0.571428571428571,0.571428571428571,0.586666666666667,0.586666666666667,0.586666666666667,0.586666666666667,0.586666666666667,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889,0.722222222222222
"76","Tunceli-62",0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.222222222222222
"77","Usak-64",0.625,0.625,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.416666666666667,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.583333333333333,0.909090909090909
"78","Van-65",0.55,0.55,0.35,0.35,0.35,0.35,0.35,0.153846153846154,0.153846153846154,0.153846153846154,0.153846153846154,0.153846153846154,0.461538461538462
"79","Yalova-77",0.733333333333333,0.733333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.533333333333333,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.642857142857143,0.357142857142857
"80","Yozgat-66",0.646153846153846,0.646153846153846,0.515625,0.515625,0.515625,0.515625,0.515625,0.805555555555556,0.805555555555556,0.805555555555556,0.805555555555556,0.805555555555556,0.611111111111111
"81","Zonguldak-67",0.625,0.625,0.612903225806452,0.612903225806452,0.612903225806452,0.612903225806452,0.612903225806452,0.44,0.44,0.44,0.44,0.44,0.52
