"","Il","Yil","Adana-1","Adiyaman-2","Afyonkarahisar-3","Agri-4","Aksaray-68","Amasya-5","Ankara-6","Antalya-7","Ardahan-75","Artvin-8","Aydin-9","Balikesir-10","Bartin-74","Batman-72","Bayburt-69","Bilecik-11","Bingöl-12","Bitlis-13","Bolu-14","Burdur-15","Bursa-16","Çanakkale-17","Çankiri-18","Çorum-19","Denizli-20","Diyarbakir-21","Düzce-81","Edirne-22","Elazig-23","Erzincan-24","Erzurum-25","Eskisehir-26","Gaziantep-27","Giresun-28","Gümüshane-29","Hakkari-30","Hatay-31","Igdir-76","Isparta-32","Istanbul-34","Izmir-35","Kahramanmaras-46","Karabük-78","Karaman-70","Kars-36","Kastamonu-37","Kayseri-38","Kilis-79","Kirikkale-71","Kirklareli-39","Kirsehir-40","Kocaeli-41","Konya-42","Kütahya-43","Malatya-44","Manisa-45","Mardin-47","Mersin-33","Mugla-48","Mus-49","Nevsehir-50","Nigde-51","Ordu-52","Osmaniye-80","Rize-53","Sakarya-54","Samsun-55","Sanliurfa-63","Siirt-56","Sinop-57","Sirnak-73","Sivas-58","Tekirdag-59","Tokat-60","Trabzon-61","Tunceli-62","Usak-64","Van-65","Yalova-77","Yozgat-66","Zonguldak-67"
"1","Adana-1",2008,1,0.665240197938312,0.257306828649663,0.394583678027185,0.471655993797975,0.36583678137186,0.255425704362841,0.591302572603207,0.42342609241446,0.307160850792199,0.250875596199184,0.398801275026498,0.389073030795644,0.545214534473178,0.398224728732434,0.2986067017472,0.496767599843758,0.52766418245331,0.364156320868117,0.155090629890582,0.341065659703896,0.40454595457397,0.377851010824386,0.333792774624558,0.143954375346434,0.658804864116831,0.351573394766655,0.365571251794102,0.456386126230777,0.432548778921433,0.434525721231149,0.323891784393463,0.654180742288583,0.403036661660392,0.359524391169629,0.522901159630158,0.894742886350733,0.416198613625642,0.383486699332422,0.20944771598471,0.380231544093612,0.630563482531782,0.374171245112844,0.496613925595255,0.422416160479065,0.419425499562546,0.413499449892969,0.289363280860538,0.22320116683159,0.366108054489779,0.256079940805288,0.391444416833454,0.544850249782154,0.236955771693872,0.609535694747753,0.179811145735207,0.621442690851947,0.913013918314783,0.426041463318801,0.486144851594546,0.448506802107456,0.680803047812869,0.410104322344485,0.713748323244951,0.397854537349709,0.373521559916917,0.383274114706029,0.714207218492332,0.535989082546547,0.405875985800857,0.69558908264309,0.480629971832607,0.387293815992826,0.428900272451445,0.393442974645743,0.346350222382829,0.157281447728174,0.498688556340507,0.39765270849966,0.37595915498647,0.399972995579907
"2","Adiyaman-2",2008,0.665240197938312,1,0.318259029199003,0.657964591594091,0.508263992160061,0.627103964825337,0.40076218073803,0.637743324790677,0.740612301682999,0.546955610133684,0.2970078948095,0.62358802235134,0.702604369751303,0.739947396554568,0.701846634405605,0.512191137370701,0.647036196582039,0.779124072563962,0.53477286599981,0.127036583010138,0.546183075933481,0.683069884870093,0.528618317944141,0.434578308908271,0.214150293234569,0.781336901675334,0.6526309505935,0.655821854411024,0.743300745215804,0.750839222108899,0.695504317061913,0.424618419534249,0.591585947425429,0.733183490279211,0.665622820422218,0.660390961725262,0.858138888209414,0.715386465909586,0.480286121821472,0.168618471629557,0.421325899535202,0.807538538929488,0.67047256915422,0.35199912817706,0.702771158051288,0.740467679361025,0.51982033851878,0.58872107475635,0.196849492247186,0.665251862105837,0.20043400703085,0.711314643887784,0.633386673490305,0.341837139617868,0.868026860713271,0.181173294116521,0.775179205244325,0.695728384922409,0.557886342746967,0.750532583770475,0.484696357769376,0.707782074163218,0.733937878226937,0.600266677959087,0.713316362768706,0.680278258960096,0.69410272617297,0.831037615822014,0.75697925260164,0.735564150244658,0.749565652070964,0.74263178740774,0.717302506131837,0.745575296632037,0.718583520546917,0.529460886813888,0.21805801068081,0.727937136699051,0.703632412011462,0.434864409509699,0.716797728100219
"3","Afyonkarahisar-3",2008,0.257306828649663,0.318259029199003,1,0.47857504321817,0.525249958228211,0.41227225798896,0.322904795670683,0.652142827645884,0.452617562089097,0.392708646542421,0.810974743225992,0.593588105975547,0.376070181814724,0.399621975088018,0.416330637178218,0.457762948507395,0.32083648876002,0.431358398862819,0.417367681362107,0.532797652481832,0.413526202692939,0.496044014705829,0.406511899308572,0.438897480758011,0.774207878715906,0.504098904614592,0.361450807683168,0.388941766784898,0.301540860879628,0.432718197994454,0.561648087415915,0.607662724203176,0.161280257589982,0.368107540984713,0.357750192622301,0.473378457082701,0.39211427677152,0.451374039502783,0.700110064421142,0.144224046705951,0.546902022438657,0.296361755631727,0.393864989644097,0.390018714874598,0.495816813358394,0.387937638846607,0.31942158439532,0.0785376484571348,0.318209319464566,0.34945704379872,0.338083245554043,0.394763350287832,0.649031878062526,0.67498529976057,0.420414030329972,0.661571392056343,0.407464104316841,0.34469708732282,0.806461958440317,0.445241753209902,0.356708240850158,0.382176717019809,0.386297437794814,0.163522399919273,0.39752497164448,0.381171270390946,0.391797868693174,0.305017192512724,0.402968326892528,0.37264197945098,0.49445748567437,0.457163271826931,0.352331963443579,0.405636828814395,0.384623662915998,0.349759983690473,0.781811855315004,0.472354973794948,0.379047401298813,0.405118824412265,0.415486775085762
"4","Agri-4",2008,0.394583678027185,0.657964591594091,0.47857504321817,1,0.52758691570074,0.748575102614133,0.451989047745816,0.6171074645717,0.912531350203869,0.720398801668122,0.52911197779415,0.841457817610537,0.843806251296933,0.818611737817719,0.863537638839793,0.662897617270964,0.652584550365826,0.901720895517199,0.673412355963272,0.0921831863689189,0.724428606449731,0.867893670211026,0.656512853117821,0.570406093493206,0.364458311046492,0.807073230554299,0.801800876149649,0.831122481998072,0.552787974305538,0.890717836931494,0.89036658622678,0.534316163478926,0.268374351533395,0.869438488804989,0.817392553904873,0.85114496957768,0.540769786291762,0.934132859481952,0.533553048981454,0.333344098279377,0.537787748169456,0.470740573868373,0.807003058528785,0.224270177512766,0.941707166121516,0.873731495985593,0.467729705008927,0.188887681507502,0.28995128392738,0.822512747428773,0.289029854408395,0.872378526296539,0.665062581187008,0.539816694114243,0.792114217889588,0.412915854765896,0.709208781587933,0.435018865514208,0.729996559852282,0.861371974543988,0.556561105890486,0.577594193218628,0.86795640876303,0.208332147294027,0.869368172943867,0.842510103170264,0.838451651910719,0.429913792659365,0.809347316951221,0.865140721270366,0.714266160898045,0.868556093444414,0.874288909136097,0.884547101814976,0.861115341836868,0.602500012952089,0.36910061133063,0.865343504426091,0.862050244630901,0.548650528964772,0.869986113085207
"5","Aksaray-68",2008,0.471655993797975,0.508263992160061,0.525249958228211,0.52758691570074,1,0.578266231955219,0.480519857201783,0.838470377583641,0.594202313977891,0.515501396219032,0.429711226078816,0.553817945414944,0.524777135776794,0.515410373215499,0.564291660296745,0.442523879679987,0.4641919953036,0.566977646151497,0.677460441439012,0.189647241501732,0.493712680290343,0.533373317047582,0.700687284397214,0.70114706890606,0.323803685557166,0.613421374288985,0.505049322792258,0.486888318374943,0.45576619309583,0.572896170840062,0.664499989527676,0.688686583898059,0.280480611227359,0.504963052397635,0.485143477097184,0.636833425427036,0.57534540622892,0.559601466574868,0.583491901668469,0.282158410768491,0.531102048605059,0.451786208029265,0.555395496658204,0.728020217662563,0.621183940044674,0.54440915209311,0.598229169598292,0.135746129591219,0.596194158216804,0.470447881174848,0.613510631054511,0.534778963982818,0.857288238155691,0.43588311678769,0.607963077095558,0.261740824826232,0.553521512111462,0.598991302377959,0.571281841418956,0.529516882578083,0.644731082343831,0.684649084475602,0.528163685206435,0.348127901681586,0.533804740523569,0.508345744071375,0.533442303041667,0.435161682053953,0.57736624688949,0.513777175870713,0.678418616389197,0.611136438130015,0.482545528865665,0.553139168848183,0.539970982944151,0.466188886059163,0.272608704915147,0.583309293985909,0.490369074361703,0.703038364488544,0.553074186332323
"6","Amasya-5",2008,0.36583678137186,0.627103964825337,0.41227225798896,0.748575102614133,0.578266231955219,1,0.610331873192579,0.615714240924678,0.843271042553578,0.727826429393383,0.411443285948468,0.746169387449989,0.797635628736606,0.759001285724592,0.813975097886709,0.614800962347823,0.631799663304523,0.789467529241609,0.749448312376066,0.0894856582761629,0.748206268022169,0.77891859439605,0.750081325138172,0.745276454985929,0.267386196994598,0.752733188332205,0.754194388155956,0.751828121174944,0.542363191155481,0.835962564325774,0.837036166556812,0.578888944798177,0.248709520383349,0.827693626427039,0.764235450960474,0.721923588934751,0.528081179939295,0.819808335151132,0.502114247614657,0.614334960017752,0.497540470577927,0.440331730057766,0.789690899778254,0.222756065250036,0.818822852763674,0.845563949805361,0.530406848156924,0.163575052669169,0.449829070017387,0.741810158180458,0.432616137727596,0.829956218498958,0.656973218170821,0.451692519551335,0.758586827136439,0.270316453623976,0.655920209683437,0.420575053288165,0.639808885480298,0.746856239473101,0.566387831579306,0.556898373280859,0.878738945865471,0.188983093420016,0.843607850762073,0.767345771087892,0.908632056912138,0.405011533284588,0.757281870633303,0.860680356421299,0.71510686109804,0.846500728654397,0.829251293784513,0.884356010843998,0.865794300134529,0.595443020896126,0.26692399913936,0.747206597239967,0.777858142374929,0.661748653188887,0.822418764062173
"7","Ankara-6",2008,0.255425704362841,0.40076218073803,0.322904795670683,0.451989047745816,0.480519857201783,0.610331873192579,1,0.458841634059617,0.506522762188116,0.411867679862831,0.335582170285899,0.475958861220939,0.470791005017919,0.480224934693926,0.490360145406474,0.393983614524009,0.397025732534316,0.473050460394328,0.492789603876459,0.119430299312951,0.459830884990458,0.476750147827648,0.539391693855709,0.704563774242263,0.183646164552647,0.46700998484939,0.441689759031636,0.420876785315603,0.33817305386757,0.508778133780552,0.518308595570724,0.365046575651619,0.149424143132206,0.492791613738305,0.436511576682499,0.443452555471734,0.347344429382896,0.503142930015661,0.373857444297324,0.196713778218228,0.312484182750868,0.279654501012295,0.476490613560143,0.300477660259449,0.483994801543473,0.514980247578859,0.565115759037152,0.0855816116916282,0.796291982868003,0.422196695078452,0.700186543156257,0.501184774927244,0.470142241553597,0.329921028065226,0.448818293921395,0.275089433203342,0.433422094584255,0.281300316536215,0.445879744716463,0.474831094043399,0.463181124984687,0.401839997053207,0.500044052450543,0.135593479864097,0.491391211144727,0.464030262619829,0.505901652735824,0.286635898660896,0.452124052863444,0.52026112644415,0.441683678046843,0.539681333777099,0.48356498763113,0.519612320957624,0.489174273819628,0.330656609341459,0.202978982118387,0.450345934010714,0.48268877533629,0.653059975159907,0.481725987946571
"8","Antalya-7",2008,0.591302572603207,0.637743324790677,0.652142827645884,0.6171074645717,0.838470377583641,0.615714240924678,0.458841634059617,1,0.668810752670692,0.529232949009578,0.529235393827175,0.650165988789506,0.604097971649102,0.650366138102398,0.628892093772274,0.532077753665662,0.586465249763712,0.670698186279966,0.619369724821766,0.593754593650145,0.537595573743082,0.634571980449116,0.635571773238336,0.604841526138972,0.516642684548677,0.715965825798086,0.560458370815439,0.56051444209633,0.524283400303563,0.655208356583716,0.709730276488696,0.679868951202823,0.420435018321543,0.603912242103113,0.55542134169578,0.717107465923605,0.695000964374283,0.645036347234676,0.891171590047282,0.22742920442934,0.605309364920421,0.553536347022533,0.606054751736149,0.64620569400485,0.68031098057683,0.63279818650979,0.546038587359484,0.239205218413061,0.434564318910667,0.552855272390447,0.446338690955692,0.620052251494858,0.847909290333881,0.536941637277854,0.701246864750479,0.357901461086229,0.67253720740645,0.662451680744824,0.697255500148434,0.642680060364087,0.576487166457751,0.682852392465122,0.617057081244817,0.443264956681662,0.61357355614273,0.575687233623654,0.605576381475095,0.559988972138425,0.679413751700491,0.610893806481363,0.750513343742314,0.679188878072668,0.579581861516959,0.643471056965458,0.613589044185992,0.506798019914008,0.41167372873015,0.649378607888608,0.582258854189996,0.599819046654834,0.6266665242545
"9","Ardahan-75",2008,0.42342609241446,0.740612301682999,0.452617562089097,0.912531350203869,0.594202313977891,0.843271042553578,0.506522762188116,0.668810752670692,1,0.807376470987621,0.432956678791172,0.872820192018876,0.942001950783424,0.893720344952953,0.946999100432584,0.727707311650544,0.7183507079172,0.922939180828085,0.772945731120672,0.0845866365815576,0.760118298885867,0.909860766227585,0.759653535632944,0.656957376315839,0.31100243259765,0.86425314245442,0.899219924556552,0.899024374626898,0.609331733811933,0.982877414578028,0.958970047955691,0.590750844601221,0.299466009861221,0.965646587522403,0.90100758035074,0.793455977889767,0.596101024721201,0.978378409188081,0.56652869765086,0.438564196932231,0.547483103816084,0.529646599142602,0.914729838208302,0.23647213069387,0.971869550992419,0.973938582083515,0.542485129735787,0.229758938197702,0.353923004375666,0.895232813234073,0.34542829996989,0.959332445048968,0.707549347940229,0.520689189773227,0.875855597035075,0.302824166951696,0.765101461005459,0.465584417177483,0.704632460521241,0.902348671004994,0.606475624456692,0.625453615796061,0.966538034484955,0.240627383462326,0.959744638320907,0.926385874727202,0.937936128922312,0.475978553481206,0.877889974668681,0.962957195224581,0.777585995858784,0.947329042387022,0.951126524316703,0.979424986820313,0.964229515760249,0.668752162567623,0.312693444065899,0.863589347801757,0.946141658942216,0.62505911963134,0.969186475597172
"10","Artvin-8",2008,0.307160850792199,0.546955610133684,0.392708646542421,0.720398801668122,0.515501396219032,0.727826429393383,0.411867679862831,0.529232949009578,0.807376470987621,1,0.37592861608756,0.774220280597073,0.738438135464085,0.672710785953869,0.830965950230736,0.726664096336301,0.571644563876394,0.725499152647363,0.678068816698811,0.0927828121428205,0.735417653942093,0.747119505443149,0.655852952969189,0.610427124826693,0.248206910568304,0.687973016400845,0.762172773691192,0.717774760465657,0.473448127517892,0.785723564685357,0.875260499318765,0.577637305485608,0.204702366486631,0.784431097836722,0.789518201774515,0.655493249435063,0.464825776268057,0.776043614901747,0.474269182554166,0.433398411901851,0.463585635449542,0.3976644896411,0.735764647684526,0.185878785099099,0.777645998811383,0.755022752002732,0.430993873785432,0.139885876392356,0.381408952692616,0.675533596906796,0.352502701400742,0.799413776629928,0.598623031411833,0.574849195157562,0.676218334195317,0.253556554278292,0.586598168359991,0.365205849898116,0.581038691306428,0.803130474878251,0.482365754426792,0.506143205986179,0.779782415227344,0.163809409156595,0.875148881502458,0.794132589686308,0.80461883322316,0.361246484120976,0.670933579646028,0.753949551456089,0.638316583324289,0.744410857199158,0.735402843818614,0.763230789698682,0.850347363604929,0.541626733302427,0.246580645087402,0.690327528647199,0.837722966725732,0.581757412026799,0.802557397377329
