"","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Il"
"61",0.000237341772151899,0.027373417721519,0.00600210970464135,0.00044831223628692,0.000474683544303797,0,0.000316455696202532,0,0.00366561181434599,0,0.00767405063291139,0.00503691983122363,"Nevsehir"
"62",0.00909810126582279,0,0,0,0,0,0,0,0,0,0.00532700421940928,0,"Nigde"
"63",0,0,0,0,0,0,0,0,0,0,0,0,"Ordu"
"64",0.00221518987341772,0,0,0,0,0,0,0,0,0,0,0,"Osmaniye"
"65",0.00303270042194093,0,0.00516877637130802,0,0,0,0,0,0.000316455696202532,0.000632911392405063,0,0,"Rize"
"66",0,0,0,0,0,0,0,0,0,0,0,0,"Sakarya"
"67",0,0,0,0,0,0,0,0,0,0,0,0,"Samsun"
"68",0,0,0,0,0,0,0,0,0,0,0,0,"Sanliurfa"
"69",0.0173180379746835,0.0103428270042194,0,0.00221518987341772,0.0011207805907173,0.000105485232067511,0,0,0,0,0,0.00321729957805907,"Siirt"
"70",0.000540611814345992,0.00185917721518987,0.0714345991561182,0.0154535864978903,0.0741561181434599,0.142194092827004,0.0839266877637131,0.101911919831224,0.11190664556962,0.130100210970464,0.149683544303797,0.279746835443038,"Sinop"
"71",0,0,0,0,0,0,0,0,0,0,0,0,"Sirnak"
"72",0,0,0,0,0,0,0,0,0,0,0,0,"Sivas"
"73",0,0,0,0,0,0,0,0,0,0,0,0,"Tekirdag"
"74",0,0,0,0,0,0,0,0,0,0,0,0,"Tokat"
"75",0,0,0,0,0,0,0,0,0,0,0,0,"Trabzon"
"76",0.0695991561181434,0.0624020494273659,0.056173523206751,0.028125,0.154395720313442,0.0313818565400844,0.181600738396624,0.0452004219409283,0.197178270042194,0.166864451476793,0.1010944092827,0.234335443037975,"Tunceli"
"77",0.00266350210970464,0.000408755274261603,0.0114583333333333,0.013370253164557,0.0119725738396624,0.0104957805907173,0.00646097046413502,0.000316455696202532,0.0189741561181435,0.00651371308016878,0.00421940928270042,0.00305907172995781,"Usak"
"78",0,0,0,0,0,0,0,0,0,0,0,0,"Van"
"79",0.00142405063291139,0.00181962025316456,0.0138844936708861,0.00453586497890295,0.00110759493670886,0,0.011039029535865,0.0349947257383966,0.0422204641350211,0.029087552742616,0.0301160337552743,0.014662447257384,"Yalova"
"80",0,0,0,0,0,0,0,0,0,0,0,0,"Yozgat"
"81",0,0,0,0,0,0,0,0,0,0,0,0,"Zonguldak"
